player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,general_position,big_chance,chance_created_per90,pass_per90,tackles_per90,successful_dribbles
Dusan Tadic,MF,Serbia,37,Ajax,1988,3,3,257,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0.1,0.1,0.7,0.8,0.03,0.25,0.28,0.03,0.28,Midfielder,1,0,0,0,0
Eden Hazard,MF,Belgium,34,Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05,Midfielder,0,0,0,0,0
Edson Ãlvarez,MF,Mexico,28,Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.11,0.12,0.01,0.12,Midfielder,0,0,0,0,0
Ehsan Hajsafi,MF,IR Iran,35,AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.06,0.08,0.15,0.06,0.15,Midfielder,0,0,0,0,0
Ellyes Skhiri,MF,Tunisia,30,KÃ¶ln,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Midfielder,0,0,0,0,0
Enzo Fernandez,MF,Argentina,24,Benfica,2001,7,5,564,6.3,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,0.9,1.2,0.05,0.16,0.21,0.05,0.21,Midfielder,1,1,87.6,68.2,60
Erick GutiÃ©rrez,MF,Mexico,30,PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Ethan Ampadu,MF,Wales,25,Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Midfielder,0,0,0,0,0
Everton Ribeiro,MF,Brazil,36,Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21,Midfielder,0,0,0,0,0
Exequiel Palacios,MF,Argentina,27,Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.12,0.12,0.24,0.12,0.24,Midfielder,0,0,0,0,0
Fabian Frei,MF,Switzerland,36,Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Fabinho,MF,Brazil,32,Liverpool,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0
Facundo Pellistri,MF,Uruguay,24,Manchester Utd,2001,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.08,0.09,0.17,0.08,0.17,Midfielder,0,0,0,0,0
Federico Valverde,MF,Uruguay,27,Real Madrid,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2,Midfielder,1,1.3,86.1,57.1,0
